,DRIBBLES,SHOT_DIST,CLOSE_DEF_DIST,TOUCH_TIME
534,0,25.1,5.9,1.3
583,4,16.9,2.7,3.5
5745,10,3.4,1.7,7.6
4143,13,8.1,3.1,10.2
4418,0,24.1,8.3,1.0
3796,6,26.2,3.3,5.4
6169,4,25.8,7.9,4.0
6309,0,4.0,2.2,0.7
2861,3,12.3,2.4,2.4
316,4,25.6,4.2,5.0
2197,0,23.4,6.9,0.6
2564,2,3.9,0.2,3.3
5815,0,25.4,4.8,0.6
6166,5,5.3,1.6,8.2
1794,3,24.1,1.6,3.4
5996,0,3.4,2.3,0.3
5468,0,4.2,3.2,0.3
271,5,15.8,1.9,5.9
548,0,23.0,3.9,0.8
1692,0,27.8,6.6,0.9
3525,10,5.1,2.5,9.4
3012,6,2.6,2.8,5.8
6178,0,3.5,5.4,0.8
6192,0,4.3,2.4,0.7
2390,0,25.0,3.7,0.6
3876,2,27.9,3.9,3.3
4694,0,8.1,1.3,0.5
894,2,7.4,2.4,2.5
4666,0,8.1,5.3,0.6
1999,2,2.5,0.1,2.9
2122,2,19.1,3.9,2.6
4157,3,21.7,3.5,4.4
1247,5,24.5,5.7,4.5
4487,1,24.5,6.9,1.9
1259,5,8.5,2.5,5.2
809,2,24.5,5.4,2.0
1049,1,2.6,3.3,2.4
1878,0,2.4,3.4,0.8
2879,2,5.3,2.3,1.8
107,0,24.5,2.7,0.8
673,1,22.4,4.7,2.7
5761,1,17.3,5.3,4.9
4761,0,4.0,2.1,0.6
4605,0,16.7,4.6,0.9
5531,1,18.4,3.8,3.3
5455,0,17.9,6.4,0.8
1532,8,2.5,4.2,6.1
4962,4,9.6,1.7,5.9
1855,0,15.1,3.7,0.7
211,8,19.1,3.5,5.4
3147,4,3.7,1.2,3.5
5156,2,17.3,4.8,3.1
2256,3,17.8,4.4,2.5
2105,2,16.7,4.3,2.9
3268,0,3.6,2.5,0.5
6149,11,17.8,3.8,8.6
1973,1,10.2,5.7,2.2
4685,0,4.3,1.4,3.3
1501,4,24.6,5.5,3.9
4182,14,22.3,6.3,12.2
646,5,21.2,5.1,4.8
3633,3,2.7,1.1,3.9
771,2,20.9,3.5,3.2
