,DRIBBLES,SHOT_DIST,CLOSE_DEF_DIST,TOUCH_TIME,SHOT_RESULT
14062,0,24.5,5.4,1.9,missed
14063,2,23.6,3.7,1.4,missed
14064,0,23.7,6.0,0.9,made
14065,7,27.7,6.5,7.2,made
14066,0,27.3,1.8,1.1,made
14067,0,23.9,3.6,0.8,missed
14068,9,6.6,0.3,7.1,missed
14069,0,23.3,20.1,0.0,made
14070,0,23.2,4.1,0.5,missed
14071,11,15.6,3.7,8.3,missed
14072,0,23.1,13.6,0.8,made
14073,0,24.6,4.4,1.5,missed
14074,4,25.7,1.9,4.6,missed
14075,3,9.3,3.6,5.2,missed
14076,0,24.4,6.0,0.8,made
14077,3,27.4,4.0,3.2,made
14078,7,4.2,4.3,5.2,made
14079,0,23.8,2.7,1.2,missed
14080,5,25.0,12.5,3.9,missed
14081,0,23.1,10.1,0.8,made
14082,13,23.8,6.3,9.4,made
14083,0,24.9,11.4,1.9,made
14084,0,25.0,7.1,0.7,missed
14085,1,21.6,8.3,1.1,made
14086,0,0.9,1.2,0.8,made
14087,5,25.5,5.2,5.0,made
14088,0,3.3,1.8,0.6,missed
14089,2,24.5,3.8,1.7,missed
14090,5,11.4,4.3,5.7,made
14091,2,5.5,3.3,2.9,made
14092,5,25.2,5.1,4.3,made
14093,11,12.7,2.8,9.8,made
14094,6,22.8,0.4,6.5,missed
14095,0,24.6,4.8,0.7,missed
14096,1,23.1,4.1,2.4,missed
14097,7,6.0,3.2,5.5,made
14098,0,25.5,6.3,0.6,made
14099,18,4.1,2.1,15.9,missed
14100,8,5.5,3.9,5.6,made
14101,0,3.8,6.7,1.0,made
14102,2,24.3,7.7,3.9,made
14103,0,23.2,5.2,1.0,missed
14104,0,24.5,11.0,1.0,made
14105,2,16.8,3.2,3.7,made
14106,5,24.4,5.6,4.5,missed
14107,1,18.5,1.1,2.9,made
14108,0,4.9,5.2,0.8,made
14109,3,2.8,28.7,2.4,made
14110,0,19.8,3.5,1.1,missed
14111,0,3.3,3.4,1.0,missed
